0x42bedd647e387dabec65a7dc3a3babcc68bb664d,live,BLINKToken,v0.5.4+commit.9549d8ff,FG2_CA
0x43de395326e1fd472bf8ab81bbc895cc620705ed,live,TwoForOne,v0.4.19+commit.c4cbbb05,FG2_CA
0x445df673309b75415a393ab4cd2520d51eb5a21d,live,KBFToken,v0.4.24+commit.e67f0147,FG2_CA
0x44c263ddb06702c5bf540b130b19e880b5a8777c,live,,,FG2_CA
0x460b3f3a8273dfbcd5fd5d23aaf0be5a11df3208,Self Destruct,,,FG2_CA
0x4620ac1edff8753012418a66a0b435c4b51f77a9,live,Presale,v0.6.12+commit.27d51765,FG2_CA
0x467532e79222670a2044c9b168bcbaa33b390ef5,live,opposite_game,v0.4.20+commit.3155dd80,FG2_CA
0x47a430808dbad2da2b920f66b6d8040f3b4c0512,live,,,FG2_CA
0x47c25a00d53337c0bbf297a51939a1a9309ff5c9,live,,,FG2_CA
0x48dc0f4d471e6775ced9f7ef50c400a3a449cc19,live,,,FG2_CA
0x496a84aeaa78f6fc8ed458904d7f2d52b222e823,live,,,FG2_CA
0x4b17c05fc1566891e5a9220d22527b5aeab0e1d0,live,microICO,v0.4.24+commit.e67f0147,FG2_CA
0x4b2838d9326bd5126f0573d9b5c71c0626ab28f2,Self Destruct,,,FG2_CA
0x4df4364216f729f310c7656fc7e8933f3c6d0dce,live,,,FG2_CA
0x4e00821b562e98bfbfb32245468b3ba4e5b3140a,live,,,FG2_CA
0x4e942e1b0957f69f2a491d0ce46b609df93067ce,live,UloxToken,v0.6.12+commit.27d51765,FG2_CA
0x59f3d26902caf222d9d4abb91fe2cb9c9956c010,live,QuizQuest,v0.4.24+commit.e67f0147,FG2_CA
0x5a53fff03bda72adf29c8b936f98a3160354fe4f,live,,,FG2_CA
0x5ad10dc7eee510d789c88080a103332ec71cbacf,Self Destruct,,,FG2_CA
0x5dc2b3d9c1fbce1e7aedf4f18ff2c2cb4af0d357,live,,,FG2_CA
0x5ea3569db479365a1eca770cbad95bf9f5cdf03c,live,,,FG2_CA
0x5fd5dd087f893854b0c935cc922cb22218bf0cb3,live,,,FG2_CA
0x6006e404c8adf05891144b41c9602c353c9e493b,Self Destruct,,,FG2_CA
0x627d2ee149cb0daec9e7b8aede4f03036ea9624c,Self Destruct,,,FG2_CA
0x627fa62ccbb1c1b04ffaecd72a53e37fc0e17839,live,TokenBank,v0.4.19+commit.c4cbbb05,FG2_CA
0x62e82bd7c894343d8cc580c21167fd9886268fd2,live,,,FG2_CA
0x63713bead598428e7d0778df00c3ab33fa78b5f4,live,,,FG2_CA
0x65c52ae9b15dd6f30902e9f8164c91e912ee2be3,live,Vault,v0.4.17+commit.bdeb9e52,FG2_CA
0x6973bb93915e9743d3f39ce369418b9df511c7c9,live,,,FG2_CA
0x6c60cb59737d4eb5f766a2b8749bcaa85df14358,live,,,FG2_CA
0x6f6b9adff1e1f77153aaae2a4b9b2159bfd3e7bb,live,,,FG2_CA
0x736fcb9221bc56a76116981d010d17a320d7ca73,Self Destruct,zHQPreSale,v0.4.16+commit.d7661dd9,FG2_CA
0x74b1e7a15d5fb45868db39f3df1d182479606ec4,live,,,FG2_CA
0x750241c16c9fb878a7afd2b07b80f53e02c3f634,live,quick2,v0.3.1-2016-04-07-054bc2a,FG2_CA
0x757167d6238936428d9baf0a29605b2783e3b925,live,Jeopardy,v0.4.24+commit.e67f0147,FG2_CA
0x76462da255bfc7b990035c6dd2e76f8b99a9c827,live,,,FG2_CA
0x765951ab946f3a6f0379680a6b05fb807d52ba09,live,,,FG2_CA
0x78a91464a77833e1f853cd3e9b42476b7dfb4609,live,BLINKToken,v0.5.4+commit.9549d8ff,FG2_CA
0x79613a56d60ed4e74c25d284f44792be17aca692,live,,,FG2_CA
0x7a1b266a05faec6490817b2f18dbc24377dcc2d1,live,,,FG2_CA
0x7a1f4c713b7ced54b86a3baca9cbda91d2ef27fc,live,AMBROSUSFund,v0.4.16+commit.d7661dd9,FG2_CA
0x7ad537f90bcdd4d2c5eaef4285643e5040c703b7,live,Riddle,v0.4.24+commit.e67f0147,FG2_CA
0x7d3b08fa2404d8436a2100cadc954fe92a700dee,live,Swap,v0.6.12+commit.27d51765,FG2_CA
0x7e2a69222d2b7f970703587e32949e10ff35ed17,Self Destruct,,,FG2_CA
0x7fed77c64559645176e783db9ef6547ccb762fa4,live,Contract,v0.4.25+commit.59dbf8f1,FG2_CA
0x808118a10f1811e7e8c5213ce1391c6c5adaf6b2,live,,,FG2_CA
0x80d2ae9b3942c2179540d4ae683125549ff1ba06,live,,,FG2_CA
0x81190d066c1cca9a778a41703c9c7f6c506629d1,live,EthDickMeasuringGamev3,v0.4.19+commit.c4cbbb05,FG2_CA
0x83d681280ebb933a428006da572843d9e1d97f9b,live,,,FG2_CA
0x881f21d3e2d2d4f48d815f41bea8dbdcf0e24e50,live,DepositVault,v0.4.18+commit.9cf6e910,FG2_CA
0x890dc1df89fc6b14d4a69b93ad2ee68b57085767,live,,,FG2_CA
0x896aa1c36c36a70c956681b4c03b00b13be829a4,Self Destruct,,,FG2_CA
0x8d54459ae19dbdf17df681ea0bdf962d47c69271,live,,,FG2_CA
0x8dcabb5801bde17e5c5ede7624440fa956baac3b,live,KnowQuizEth,v0.4.24+commit.e67f0147,FG2_CA
0x8dd44137ed45dec8fdce8b3d60318acfc9d3f686,live,,,FG2_CA
0x8e1f5a1c8294af0eb00e4003b2d78a0919072e1e,live,,,FG2_CA
0x8ea5950fcebe4680d59040f5bb8c6f49d6410c08,live,,,FG2_CA
0x8ecf22f0c27fa5253a3eee350438cc2caaff9972,live,,,FG2_CA
0x92ac2c9f0c4d179feadb8e4b3d8111ef403257f0,live,,,FG2_CA
0x94103e7022d94ef11868e1bce1d3de6d60a695ae,live,,,FG2_CA
0x94dd78dbe600cc5c4e9caa5f3444affd36b33505,live,EthDickMeasuringGamev2,v0.4.19+commit.c4cbbb05,FG2_CA
0x9775b4c42e2804344d36a427633a8136a779e4d1,live,,,FG2_CA
